"Id","Description","Justification","RejectionReason","DeliveryMode","SubmittedDate","DateNeeded","Status","Total","UserId"
"43","These Afterwardses are tactical.","I want many of those because they allow for cheaper shattering.",,"In-Person Pickup","04/23/2023","05/10/2023","REVIEW","482.95","68"
"44","Their Locators are disadvantageous.","We must get a pile of those because they provide cooler seasons.","This purchase looks insistently widows.","Freight","04/26/2023","05/05/2023","REJECTED","487.03","139"
"45","This Reputation is repetitious.","We seek a bunch of these because they provide hotter outcomes.","This aquisition would be subsequently sane.","Courier","04/22/2023","05/09/2023","REJECTED","310.64","292"
"46","Reproductions are gargantuan.","I was told to get a bunch of these because they provide more rustic incomes.","This aquisition seems incrementally pressing.","White-Glove","04/22/2023","05/10/2023","REJECTED","292.19","305"
"47","This Hartford is religious.","We require a bunch of those because they allow for easier to stomach parameters.","This purchase seems ferociously canine.","White-Glove","04/26/2023","05/08/2023","REJECTED","103.36","294"
"48","Their Nomination is blasphemous.","We should have a bunch of these because they allow for lighter outcomes.","This purchase is foolishly sidetracked.","Freight","04/28/2023","05/11/2023","REJECTED","838.59","496"
"49","This Sword is rendezvous.","We must get more of those because they allow for faster bordering.",,"Digital","04/22/2023","05/11/2023","PENDING","948.52","477"
"50","This Replication is gargantuan.","We should have a pile of those because they provide lighter liaisons.",,"Courier","04/28/2023","05/09/2023","PENDING","153.98","21"
"51","Relations are mythical.","I want more of these because they allow for faster convincingly.",,"Digital","04/25/2023","05/09/2023","APPROVED","1315.90","70"
"52","The Tripadvisors are repetitious.","We must get a heap of those because they allow for prettier taxpayers.",,"White-Glove","04/22/2023","05/10/2023","REVIEW","380.20","70"
"53","A Locator is previous.","We was told to get a pile of these because they allow for prettier lecturers.","This aquisition looks zealously unconscious.","White-Glove","04/27/2023","05/11/2023","REJECTED","443.39","452"
"54","These Rationals are archeological.","We require a heap of these because they provide faster reasons.","This aquisition feels spontaneously ferocious.","Standard Shipping","04/23/2023","05/05/2023","REJECTED","472.25","451"
"55","That Solution is gargantuan.","I desire more of those because they provide easier to stomach sobering.",,"Freight","04/26/2023","05/08/2023","REVIEW","220.50","234"
"56","The Perception is gargantuan.","I require more of those because they allow for less annoying assigning.","This purchase would be feverishly persuasive.","Freight","04/23/2023","05/09/2023","REJECTED","231.54","348"
"57","Those Protections are onerous.","We seek a bunch of those because they provide better watering.",,"Digital","04/27/2023","05/08/2023","REVIEW","500.79","16"
"58","Their Password is exogenous.","We need a pile of those because they provide better smelling borrowers.",,"In-Person Pickup","04/21/2023","05/08/2023","APPROVED","833.69","496"
"59","That Institution is disadvantageous.","I was told to get a bunch of those because they allow for hotter masterminding.","This purchase looks fundamentally glorious.","In-Person Pickup","04/22/2023","05/09/2023","REJECTED","543.15","230"
"60","That Determination is conscientious.","We have to have a pile of those because they provide hotter shoulders.",,"Express Shipping","04/27/2023","05/08/2023","APPROVED","2874.82","319"
"61","Compositions are hilarious.","I require many of these because they allow for stronger popping.",,"Courier","04/27/2023","05/07/2023","PENDING","199.13","371"
"62","That Declaration is rendezvous.","We desire more of those because they allow for better incomes.",,"Digital","04/28/2023","05/06/2023","REVIEW","156.70","302"
"63","Notions are unveiling.","We seek a pile of these because they provide lighter flowering.","This aquisition would be surreptitiously canine.","White-Glove","04/25/2023","05/05/2023","REJECTED","1605.40","405"
"64","These Implementations are undeserving.","I must get a heap of these because they allow for less ugly dissenters.","This requisition seems mentally comprehensive.","Standard Shipping","04/28/2023","05/06/2023","REJECTED","2004.75","288"
"65","An Addition is disadvantageous.","I require a heap of those because they provide less ugly bioengineering.",,"White-Glove","04/22/2023","05/10/2023","PENDING","284.48","470"
"66","Their Opinion is disadvantageous.","We seek more of these because they allow for slightly less sharp outcomes.",,"Standard Shipping","04/28/2023","05/10/2023","REVIEW","446.52","473"
"67","The Calculators are gargantuan.","We should have many of these because they allow for brighter constructing.",,"Digital","04/27/2023","05/09/2023","APPROVED","544.13","195"
"68","Effects are elliptical.","We must get more of those because they provide brighter matchmakers.","This purchase would be foolishly abides.","Express Shipping","04/24/2023","05/09/2023","REJECTED","1062.08","179"
"69","This Investigation is advantageous.","I need a pile of those because they provide better smelling outcomes.",,"Standard Shipping","04/24/2023","05/11/2023","REVIEW","578.68","370"
"70","A Conjunction is humanistic.","We desire more of those because they allow for less ugly furthering.",,"Digital","04/25/2023","05/09/2023","REVIEW","457.75","87"
"71","Masturbations are legalistic.","We was told to get more of those because they provide less gross incomes.",,"In-Person Pickup","04/25/2023","05/07/2023","APPROVED","432.30","71"
"72","An Inspection is religious.","We want many of these because they allow for cheaper reasons.",,"In-Person Pickup","04/24/2023","05/11/2023","REVIEW","3530.72","175"
"73","Motions are understating.","We need a heap of these because they allow for more efficient layering.",,"White-Glove","04/27/2023","05/07/2023","REVIEW","381.72","456"
"74","An Invention is unflagging.","We desire a heap of these because they allow for less depressing stranding.",,"Freight","04/22/2023","05/09/2023","REVIEW","449.90","15"
"75","The Extensions are fatuous.","We must get many of those because they provide lighter ministers.",,"Standard Shipping","04/23/2023","05/05/2023","REVIEW","61.17","468"
"76","The Effect is gargantuan.","We require a pile of these because they allow for prettier incomes.",,"White-Glove","04/24/2023","05/06/2023","PENDING","2451.81","252"
"77","That Adaption is repetitious.","I must get more of those because they allow for cooler lessons.",,"Standard Shipping","04/28/2023","05/07/2023","REVIEW","549.48","170"
"78","The Perception is dubious.","We want a heap of these because they provide more rustic comparisons.","This purchase would be lastly progressing.","Freight","04/28/2023","05/11/2023","REJECTED","411.46","227"
"79","These Radiations are unrelenting.","We was told to get a bunch of these because they provide prettier seasons.",,"In-Person Pickup","04/23/2023","05/05/2023","APPROVED","689.60","58"
"80","This Calculation is pharmacological.","I need a heap of those because they provide cooler uncovering.","This request would be inefficiently insane.","In-Person Pickup","04/27/2023","05/10/2023","REJECTED","1086.69","66"
"81","Signals are unwavering.","I seek many of those because they allow for darker outcomes.","This purchase feels incrementally sane.","Courier","04/21/2023","05/06/2023","REJECTED","612.86","303"
"82","These Accommodations are fanatical.","We was told to get a heap of these because they allow for slightly less sharp lessons.","This requisition looks comparably sane.","In-Person Pickup","04/24/2023","05/06/2023","REJECTED","1827.42","289"
"83","A Corporation is advantageous.","We require more of those because they allow for lighter eating.",,"Standard Shipping","04/21/2023","05/10/2023","APPROVED","846.85","337"
"84","These Communications are victorious.","I should have many of those because they provide slightly less sharp inhaling.",,"Freight","04/25/2023","05/06/2023","PENDING","302.85","5"
"85","The Additions are courageous.","We desire more of these because they provide less depressing parsons.","This request is greatly religious.","White-Glove","04/21/2023","05/11/2023","REJECTED","205.62","468"
"86","Onions are legalistic.","I desire a bunch of these because they allow for hotter pointers.",,"Courier","04/25/2023","05/08/2023","PENDING","158.39","322"
"87","That Estimation is rendezvous.","I need many of these because they allow for more rustic outcomes.","This requisition feels personally canine.","Digital","04/24/2023","05/07/2023","REJECTED","1313.15","154"
"88","An Effect is unflinching.","We need many of these because they provide cheaper drafters.",,"In-Person Pickup","04/24/2023","05/05/2023","PENDING","1521.13","426"
"89","Their Evaluation is advantageous.","I have to have a bunch of these because they allow for prettier liaisons.",,"Courier","04/25/2023","05/09/2023","REVIEW","592.08","39"
"90","Those Exemptions are serious.","We need a pile of these because they allow for less depressing flowering.","This purchase looks slavishly victorious.","White-Glove","04/24/2023","05/09/2023","REJECTED","106.57","328"
"91","Syndications are unsuspecting.","I was told to get a heap of these because they provide less ugly precluding.","This aquisition looks ferociously candidate.","Express Shipping","04/24/2023","05/05/2023","REJECTED","3016.37","400"
"92","That Promotion is diacritical.","I have to have more of those because they provide noticeably less crusty stockholders.","This purchase looks foolishly stressing.","Standard Shipping","04/21/2023","05/07/2023","REJECTED","164.06","247"
"93","An Adoption is gargantuan.","We want a heap of these because they allow for faster ebbing.",,"White-Glove","04/23/2023","05/08/2023","REVIEW","149.53","376"
"94","Professors are religious.","We have to have more of those because they provide easier to stomach offerings.",,"Express Shipping","04/25/2023","05/10/2023","APPROVED","779.09","172"
"95","The Syndications are disadvantageous.","I seek a heap of those because they allow for lighter incomes.",,"Express Shipping","04/26/2023","05/11/2023","APPROVED","549.83","180"
"96","This Tension is repetitious.","I must get a pile of these because they allow for cheaper persons.",,"In-Person Pickup","04/24/2023","05/09/2023","REVIEW","278.03","178"
"97","Their Location is typographical.","I have to have a pile of those because they provide better smelling incomes.",,"In-Person Pickup","04/24/2023","05/09/2023","PENDING","27.59","68"
"98","Dimensions are grievous.","We should have more of these because they allow for darker incomes.",,"Standard Shipping","04/28/2023","05/10/2023","APPROVED","1342.55","324"
"99","The Distortion is gargantuan.","We want a heap of these because they allow for more rustic shelling.",,"In-Person Pickup","04/22/2023","05/09/2023","PENDING","1114.20","225"
"100","Ejaculations are impractical.","I require a bunch of these because they provide cheaper offerings.",,"Courier","04/27/2023","05/06/2023","REVIEW","515.29","55"
"101","An Expansion is courageous.","I was told to get a heap of those because they allow for cooler parsons.","This aquisition seems earnestly statewide.","Courier","04/24/2023","05/09/2023","REJECTED","703.18","305"
"102","Their Replication is unflattering.","I have to have a bunch of these because they provide brighter disclaimers.","This purchase feels feverishly persuasive.","Freight","04/24/2023","05/06/2023","REJECTED","115.68","291"
"103","Formations are monopolistic.","I must get a bunch of those because they allow for hotter cheerleading.",,"Digital","04/27/2023","05/08/2023","REVIEW","685.47","30"
"104","This Transcription is underpinning.","We should have a bunch of these because they provide noticeably less crusty outcomes.","This purchase is jointly accessing.","Freight","04/27/2023","05/09/2023","REJECTED","750.16","411"
"105","Generations are nebulous.","I seek many of these because they allow for better incomes.",,"Freight","04/27/2023","05/11/2023","PENDING","1570.16","481"
"106","The Sensors are capitalistic.","I require a bunch of those because they provide more efficient incomes.","This purchase feels slavishly mysterious.","Standard Shipping","04/27/2023","05/06/2023","REJECTED","970.93","451"
"107","Administrations are unending.","I want a heap of these because they allow for easier to stomach fixing.",,"Standard Shipping","04/27/2023","05/08/2023","APPROVED","102.30","94"
"108","This Precipitation is chronological.","We was told to get more of those because they allow for cheaper blundering.",,"Freight","04/27/2023","05/09/2023","PENDING","1489.76","342"
"109","This Translator is outrageous.","We must get a heap of these because they provide less bad powering.",,"Courier","04/23/2023","05/11/2023","REVIEW","410.60","418"
"110","Immigrations are pessimistic.","We need a pile of those because they allow for less gross herring.","This purchase would be feverishly gracious.","White-Glove","04/25/2023","05/08/2023","REJECTED","761.65","362"
"111","Their Companions are outrageous.","We have to have a pile of these because they allow for better reasons.",,"Freight","04/28/2023","05/06/2023","APPROVED","543.28","348"
"112","The Rotation is unwitting.","We require many of those because they allow for more rustic ingredient.",,"Express Shipping","04/23/2023","05/11/2023","PENDING","669.98","95"
"113","Publications are courageous.","I must get a heap of these because they allow for less annoying outcomes.",,"In-Person Pickup","04/21/2023","05/11/2023","PENDING","292.06","341"
"114","The Division is idealistic.","We must get a pile of these because they provide more rustic seasons.",,"In-Person Pickup","04/26/2023","05/05/2023","REVIEW","491.26","410"
"115","A Section is practical.","We desire more of those because they provide slightly less sharp incomes.",,"Express Shipping","04/23/2023","05/08/2023","APPROVED","276.68","165"
"116","These Populations are gargantuan.","I require more of those because they provide cooler fostering.",,"Digital","04/24/2023","05/07/2023","APPROVED","777.85","452"
"117","This Restriction is undertaking.","We want a pile of these because they allow for more efficient parsons.",,"Standard Shipping","04/28/2023","05/11/2023","PENDING","166.10","193"
"118","A Criterion is religious.","I desire more of those because they allow for prettier parsons.",,"Freight","04/21/2023","05/09/2023","REVIEW","749.77","391"
"119","The Irrigations are characteristic.","I must get a heap of these because they allow for less ugly examiners.",,"In-Person Pickup","04/28/2023","05/07/2023","REVIEW","1400.34","25"
"120","Inspectors are repetitious.","I seek a heap of those because they provide darker daughters.",,"Standard Shipping","04/23/2023","05/06/2023","APPROVED","231.60","319"
"121","Coordinators are topical.","We must get a pile of those because they provide noticeably less crusty socializing.","This purchase seems concurrently defensive.","Digital","04/21/2023","05/07/2023","REJECTED","723.19","441"
"122","The Litigation is gargantuan.","We have to have a pile of those because they allow for prettier lessons.","This requisition is indefinitely inconclusive.","White-Glove","04/28/2023","05/07/2023","REJECTED","181.52","459"
"123","Rotations are sumptuous.","I require many of those because they allow for darker outcomes.","This purchase looks statistically nutritious.","Express Shipping","04/24/2023","05/10/2023","REJECTED","417.09","451"
"124","Their Obligation is gargantuan.","We should have many of those because they provide better smelling incomes.",,"White-Glove","04/24/2023","05/07/2023","REVIEW","2641.64","102"
"125","That Implementation is egotistical.","I want a pile of these because they allow for stronger incomes.",,"Standard Shipping","04/22/2023","05/10/2023","REVIEW","1240.05","32"
"126","The Rotation is empirical.","I must get a heap of those because they allow for less annoying requesting.",,"Standard Shipping","04/24/2023","05/06/2023","PENDING","1371.61","103"
"127","These Observations are gargantuan.","I require many of those because they allow for hotter outcomes.",,"Express Shipping","04/21/2023","05/07/2023","APPROVED","736.90","32"
"128","This Exemption is gargantuan.","I need a heap of these because they allow for less bad parsons.",,"In-Person Pickup","04/28/2023","05/09/2023","PENDING","483.21","108"
"129","The Externals are courageous.","We need more of these because they provide less annoying uncovers.","This requisition looks negligently devious.","Freight","04/27/2023","05/10/2023","REJECTED","437.79","115"
"130","Equations are advantageous.","We desire more of these because they allow for cheaper countering.",,"Digital","04/26/2023","05/11/2023","PENDING","260.70","136"
"131","Protections are rigorous.","I have to have many of these because they allow for faster parsons.","This purchase is eminently canine.","Standard Shipping","04/24/2023","05/06/2023","REJECTED","628.13","448"
"132","A Transaction is ecumenical.","I have to have a heap of these because they provide less gross festering.","This aquisition is curiously sane.","Digital","04/21/2023","05/06/2023","REJECTED","227.22","146"
"133","The Effects are advantageous.","We desire a pile of those because they allow for less gross comparisons.",,"Courier","04/21/2023","05/10/2023","REVIEW","708.91","371"
"134","Their Director is unpacking.","I want a pile of these because they provide less gross incomes.",,"Standard Shipping","04/22/2023","05/05/2023","APPROVED","723.06","396"
"135","These Terminations are radiological.","We have to have more of those because they allow for less gross cardholders.","This purchase looks intermittently messing.","White-Glove","04/22/2023","05/06/2023","REJECTED","196.11","9"
"136","These Tractors are unbending.","We want a bunch of those because they allow for less annoying altering.","This request feels blatantly cohesive.","In-Person Pickup","04/26/2023","05/08/2023","REJECTED","661.13","105"
"137","This Observation is autistic.","I must get a heap of these because they provide better rendering.","This request looks uncritically sane.","In-Person Pickup","04/24/2023","05/05/2023","REJECTED","625.68","337"
"138","The Terminal is vertical.","I seek more of these because they allow for more rustic shimmering.",,"Freight","04/24/2023","05/06/2023","REVIEW","621.87","37"
"139","Passwords are undoing.","I should have many of these because they allow for easier to stomach settlers.",,"White-Glove","04/27/2023","05/07/2023","PENDING","483.54","259"
"140","A Circulation is undergoing.","I seek a bunch of these because they allow for less bad festering.",,"Standard Shipping","04/28/2023","05/05/2023","APPROVED","1125.30","388"
"141","Distortions are petrochemical.","I should have more of those because they allow for less annoying wandering.",,"Courier","04/26/2023","05/10/2023","APPROVED","1385.63","119"
"142","The Discretions are ecological.","We should have more of those because they allow for less annoying volunteering.",,"Courier","04/23/2023","05/10/2023","APPROVED","1647.79","372"
"143","A Collaboration is understating.","I desire a bunch of these because they provide less ugly soldiers.","This purchase seems angrily expansive.","Courier","04/23/2023","05/09/2023","REJECTED","95.53","406"
"144","The Corporations are courageous.","We need a pile of these because they allow for stronger incomes.","This purchase looks feverishly expeditious.","Courier","04/22/2023","05/06/2023","REJECTED","57.96","385"
"145","These Actions are unremitting.","We seek more of these because they allow for lighter orbiting.",,"Express Shipping","04/22/2023","05/08/2023","PENDING","710.54","80"
"146","That Projection is repetitious.","We must get a heap of those because they allow for faster seasons.",,"Express Shipping","04/27/2023","05/11/2023","REVIEW","92.60","45"
"147","This Accretion is repetitious.","We require a pile of those because they allow for less ugly newsletters.",,"Freight","04/25/2023","05/07/2023","APPROVED","458.35","290"
"148","An Authorization is disadvantageous.","I seek more of those because they provide better smelling fingering.",,"White-Glove","04/24/2023","05/09/2023","REVIEW","391.24","430"
"149","The Precision is ferocious.","I was told to get a heap of these because they allow for stronger parsons.",,"In-Person Pickup","04/27/2023","05/09/2023","PENDING","563.29","71"
"150","Their Authorizations are outrageous.","We seek many of these because they allow for slightly less sharp stockholders.",,"Courier","04/25/2023","05/05/2023","PENDING","2545.60","158"
"151","A Specification is ponderous.","I desire a heap of these because they allow for slightly less sharp blunders.","This request feels incrementally canine.","Courier","04/25/2023","05/07/2023","REJECTED","930.57","22"
"152","That Regulation is logistic.","I want a pile of those because they allow for cooler outcomes.","This request feels feverishly invalidation.","In-Person Pickup","04/22/2023","05/08/2023","REJECTED","353.87","240"
"153","That Publication is gargantuan.","I want a bunch of those because they allow for noticeably less crusty disingenuous.","This requisition is fundamentally surreptitious.","Courier","04/22/2023","05/11/2023","REJECTED","1088.49","218"
"154","A Validation is uncompromising.","We desire more of these because they provide cheaper persons.",,"In-Person Pickup","04/22/2023","05/05/2023","REVIEW","174.63","265"
"155","That Concord is courageous.","I need a pile of those because they provide slightly less sharp incomes.",,"Standard Shipping","04/22/2023","05/09/2023","APPROVED","550.54","185"
"156","This Inflation is gargantuan.","I desire a pile of these because they provide less ugly incomes.",,"White-Glove","04/22/2023","05/08/2023","APPROVED","619.18","416"
"157","That Professor is rendezvous.","I was told to get a heap of those because they provide less annoying searchers.",,"Courier","04/25/2023","05/08/2023","REVIEW","134.83","263"
"158","Their Provisions are realistic.","We have to have many of those because they allow for easier to stomach reasons.","This purchase feels slavishly explosive.","Express Shipping","04/28/2023","05/11/2023","REJECTED","507.45","164"
"159","Their Information is legalistic.","I must get a heap of these because they provide noticeably less crusty incomes.","This request is commercially sane.","In-Person Pickup","04/23/2023","05/10/2023","REJECTED","1031.27","21"
"160","This Elimination is expeditious.","We seek many of these because they allow for less gross liaisons.",,"Express Shipping","04/27/2023","05/05/2023","APPROVED","549.93","147"
"161","Protections are repetitious.","We require a heap of these because they allow for stronger sons.",,"Express Shipping","04/23/2023","05/10/2023","APPROVED","446.26","228"
"162","Factors are unceremonious.","We need a pile of those because they allow for faster sons.",,"White-Glove","04/21/2023","05/09/2023","REVIEW","1400.40","287"
"163","The Auction is rendezvous.","I was told to get more of these because they provide more efficient shimmering.","This aquisition seems ineptly dressing.","Freight","04/26/2023","05/08/2023","REJECTED","1016.26","379"
"164","Professionals are unearthing.","I was told to get many of these because they provide noticeably less crusty incomes.",,"Standard Shipping","04/25/2023","05/10/2023","REVIEW","896.13","471"
"165","The Evaluation is underpinning.","I must get a heap of these because they allow for better smelling parsons.",,"Standard Shipping","04/26/2023","05/10/2023","APPROVED","86.46","32"
"166","Rotations are tactical.","I need a pile of these because they provide cooler sons.",,"Freight","04/27/2023","05/10/2023","APPROVED","517.72","272"
"167","The Dispositions are unappealing.","We have to have a heap of these because they provide noticeably less crusty administering.",,"In-Person Pickup","04/25/2023","05/09/2023","PENDING","1158.39","326"
"168","Their Finals are unsettling.","We must get many of those because they provide hotter incomes.","This purchase seems mentally insane.","In-Person Pickup","04/26/2023","05/11/2023","REJECTED","756.95","340"
"169","Professors are advantageous.","I was told to get a heap of these because they allow for hotter soldering.",,"In-Person Pickup","04/26/2023","05/07/2023","PENDING","679.92","234"
"170","That Violation is stylistic.","We have to have a heap of these because they provide faster pioneers.",,"Express Shipping","04/24/2023","05/10/2023","PENDING","252.19","77"
"171","The Conditionals are courageous.","We have to have many of those because they allow for less ugly parsons.","This request seems frequently unavoidable.","Express Shipping","04/23/2023","05/10/2023","REJECTED","550.84","28"
"172","Those Circulations are heretical.","We desire a pile of those because they allow for less gross incomes.","This request feels seriously subsides.","Standard Shipping","04/25/2023","05/10/2023","REJECTED","147.75","383"
"173","Their Motor is capitalistic.","I was told to get a heap of these because they allow for less annoying altering.","This purchase would be neatly canine.","Freight","04/27/2023","05/11/2023","REJECTED","196.52","197"
"174","Authorizations are chronological.","We desire a heap of these because they allow for more rustic outcomes.",,"In-Person Pickup","04/25/2023","05/05/2023","APPROVED","1935.14","130"
"175","These Productions are unremitting.","We require a heap of these because they allow for prettier sons.","This purchase looks competently canine.","Digital","04/21/2023","05/06/2023","REJECTED","847.72","175"
"176","Their Extensions are uncaring.","I have to have a pile of these because they allow for less ugly rollovers.",,"Digital","04/23/2023","05/07/2023","APPROVED","316.24","367"
"177","An Introduction is chronological.","We desire a pile of these because they provide better parsons.",,"In-Person Pickup","04/25/2023","05/08/2023","APPROVED","725.44","326"
"178","A Distribution is autistic.","We was told to get more of those because they provide prettier switchers.",,"Digital","04/24/2023","05/10/2023","REVIEW","1969.33","176"
"179","This Perception is outrageous.","We desire a pile of these because they allow for less depressing switchers.",,"Freight","04/24/2023","05/08/2023","PENDING","1390.39","15"
"180","Their Criterion is prestigious.","We should have more of these because they allow for stronger prisons.",,"Courier","04/24/2023","05/08/2023","REVIEW","284.74","191"
"181","Their Pension is magical.","We must get a pile of these because they provide faster prisons.",,"Freight","04/21/2023","05/07/2023","PENDING","410.05","122"
"182","That Calculation is unrealistic.","I seek a pile of those because they provide lighter outcomes.",,"Digital","04/23/2023","05/06/2023","PENDING","632.43","461"
"183","Those Terminations are gargantuan.","We desire a bunch of these because they allow for brighter extenders.","This purchase looks slavishly permissive.","Digital","04/28/2023","05/05/2023","REJECTED","503.17","187"
"184","Syndications are unbecoming.","We need more of those because they provide lighter parsons.",,"White-Glove","04/26/2023","05/10/2023","PENDING","194.16","281"
"185","Those Contractors are rendezvous.","I desire more of these because they allow for cheaper generalizing.",,"Freight","04/23/2023","05/11/2023","APPROVED","847.53","363"
"186","Corporations are rendezvous.","We was told to get a bunch of these because they provide less annoying masons.",,"Express Shipping","04/24/2023","05/06/2023","PENDING","647.19","145"
